595524450503815168	1	0	-Prendere i libri in copisteria-Fare la spesa-Spararmi in bocca-Farmi la doccia
578468106504433665	1	1	...comunque con una crociera Costa se non ti ammazza Schettino prima ti spara il terrorista dopo...
577791521174466560	1	0	“@TweetComici: Ogni ragazza: \"non sono una ragazza gelosa.\"*3 minuti dopo*\"CHI CAZZO È QUELLA PUTTANA?\"”
507464919303069697	1	0	“La buona scuola”? Fa gli errori di grammatica http://t.co/YfjOYGe5cL
839896135619727362	0	0	“Vi hanno sfrattato? Andate al campo rom in un container”:3 famiglie italiane umiliate a #Roma https://t.co/r1nLShoAOp &gt;Ma li VOTATE ancora?
852138571842682880	1	1	@1282Ugo @sputnik_italia Bene,ricomincia la distruzione dei Porci terroristi
509385889387388928	0	0	@19e40 domani #protesta10settembre vs linee guida de #labuonascuola ke #passodopopasso vuole fuori #docenti di GI dopo anni di sfruttamento
574548641362415618	1	1	@51fini poverina la nostra @lauraboldrini allora può permettersi di ospitare qualche immigrato anzi qualche risorsa per l'Italia :-D
526605761196339200	0	0	@AARomita @FLuccisano Assumere 150mila prof, 80mila senza cattedra, il 43% senza abilitazione x inglese non è "buona scuola".
848181894504206336	0	0	@adling64 @dellorco85 @Vituzzo_Zuccone Ma forse no se retwitti immigrato ha fatto,  immigrato ha uccido come se lo… https://t.co/7EszpVBSNi
525522294186467328	0	0	@Agenzia_Ansa @FondAgnelli una scuola vera che cerchiamo di costruire ogni giorno anche @liceo_titolivio @FLuccisano @dskutz #labuonascuola
530272895243939841	1	1	@Agenzia_Ansa e,magari,tutti promossi.Evviva la buona scuola! Cosi' avremo futuri lavoratori che vorranno fare tutti il medico(poveri noi)!
509831657072119808	0	0	@AlbaDoratait immagine perfetta ed esplicita che descrive la realtà della'' buona scuola'' a renzopoli ,purtroppo!
572882732633595904	1	0	@ale02dipietran1 scusa hai ancora posti liberi nella app di braccialetti rossi?
517665195607719936	1	0	@alerinov @matteorenzi @SteGiannini non solo piove ma in terza ora ancora nessuno aveva asciugato @MiurSocial #labuonascuoladeche
512330960986456064	1	0	@alerinov prolisso forse, stizzoso boh? Certo si poteva riassumere il tutto con #labuonascuola e' una cagata pazzesca.
817093557077024769	1	1	@AlessiaMorani @19TIZIANO72 Dai, magari è straniero! Cerchiamo di essere inclusivi. Da dove viene, ingegner @19TIZIANO72 ? La stiamo accogliendo bene in Italia?
644645524428193792	0	0	@Alexandra_Voice  allontanare dalle istituzioni tutti coloro che negli ultimi anni hanno avuto incarichi elettivi #portaaporta
527348178417647616	1	1	@alexcorlazzoli @FondAgnelli @dominicipi prima di una buona scuola ci vuole una scuola libera @LibreItalia c'è anke #Linux e voi ci siete?
847196241020817409	1	1	@AlexRay696 @arcobalenietnei anche nel Canada di Justin Trudeau immigrati musulmani in abbondanza peggio dell'UE unica difesa Trump reggerà?
507137009643970560	1	1	@AlexTheMod @arcanodavvero @NicolaMorra63 ma perchè poi è andato a ripescare sto testo vecchio?Proprio ora che Renzi presenta riforma scuola
598926159984893953	1	0	@americanlife_ 😂😂😂😂😂 fingerai anche tu un malore se ti dovessero beccare? 😂😂😂
530065310880382976	0	0	@Ana_fmd @fmdigitale @andreacreativo @ABCDOrient la buona scuola la vede solo il ministro,noi che la viviamo quotidianamente siamo miopi
511095713552695297	0	0	@AndreaScanzi #labuonascuola siamo noi abilitati delle GI che da anni lavoriamo a scuola con PASsione #MIDAperRUOLO
511275030379249665	1	0	@AndreaScanzi vuoi sapere la verità sulla scuola e suo docenti precari? #labuonascuola siamo noi precari che @matteorenzi vuole rottamare
814577277702967297	1	0	@angelo_ra_ @RParavati @Libero_official Pisapia, un leoncavallino sposato con una rom, dopo aver rovinato Milano, vuole rovinare l'Italia?
854612496640073728	1	0	@annagrossi3 ah già le famose immigrate che costringono i clienti italiani per le strade a fare sesso con loro. Disgraziate!
835198657821556736	1	1	@AnnaLeonardi1 @FedeAngeli  È + grave il furto del cuore e cervello della gente da parte di Salvini o quello di cartone da parte delle rom?
856213656895442944	0	0	@antoninobill @magdicristiano @NOislam3 @MLP_officiel @FrancoisFillon Si,ma non c è più speranza.Si riuniranno TUTT… https://t.co/oDZjLXn6ac
529994642100879360	0	0	@antoniopolito1 e con docenti ultra60enni altro che buona scuola#quota96scuola
578646717505122305	0	0	@arch_passarella peggio_Barack Hussein Obama II pensa di imporre con ONU uno stato arabo musulmano palestinese.fanno tutto il contrario..
530654114511069184	1	0	@ArenaGiletti @RaiPortaaPorta giannini ha il coraggio di parlare ancora della buona scuola?#concorsonazionale il più bravo a copiare entra!
513242637001060352	0	0	@Ariachetira #labuonascuola lascia fuori docenti con +3 anni di servizio lo sanno anche @fioroni_pd e @elena_centemero #MIDAperRUOLO
